year,series_id,product,months_observed,missing_months
2020,APU0000701111,Flour,11,04
2025,APU0000701111,Flour,11,10
2000,APU0000701312,Rice,4,"05, 06, 07, 08, 09, 10, 11, 12"
2001,APU0000701312,Rice,0,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12"
2002,APU0000701312,Rice,8,"01, 02, 03, 04"
2020,APU0000701312,Rice,11,04
2025,APU0000701312,Rice,11,10
2025,APU0000701322,Spaghetti,11,10
2025,APU0000702111,Bread,11,10
2003,APU0000702212,Whole wheat bread,9,"06, 11, 12"
2004,APU0000702212,Whole wheat bread,5,"01, 02, 05, 06, 07, 08, 09"
2025,APU0000702212,Whole wheat bread,11,10
2012,APU0000703112,Ground beef,11,10
2025,APU0000703112,Ground beef,11,10
2025,APU0000704111,Bacon,11,10
2020,APU0000706111,Whole chicken,11,05
2025,APU0000706111,Whole chicken,11,10
1996,APU0000FF1101,Boneless chicken breast,0,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12"
1997,APU0000FF1101,Boneless chicken breast,0,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12"
1998,APU0000FF1101,Boneless chicken breast,0,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12"
1999,APU0000FF1101,Boneless chicken breast,0,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12"
2000,APU0000FF1101,Boneless chicken breast,0,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12"
2001,APU0000FF1101,Boneless chicken breast,0,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12"
2002,APU0000FF1101,Boneless chicken breast,0,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12"
2003,APU0000FF1101,Boneless chicken breast,0,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12"
2004,APU0000FF1101,Boneless chicken breast,0,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12"
2005,APU0000FF1101,Boneless chicken breast,0,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12"
2025,APU0000FF1101,Boneless chicken breast,11,10
2025,APU0000708111,Eggs,11,10
2025,APU0000709112,Whole milk,11,10
2025,APU0000710212,Cheddar cheese,11,10
2025,APU0000711211,Bananas,11,10
1996,APU0000711311,Navel oranges,7,"06, 07, 08, 09, 10"
1997,APU0000711311,Navel oranges,7,"06, 07, 08, 09, 10"
1998,APU0000711311,Navel oranges,6,"06, 07, 08, 09, 10, 11"
1999,APU0000711311,Navel oranges,6,"05, 06, 07, 08, 09, 10"
2000,APU0000711311,Navel oranges,8,"07, 08, 09, 10"
2001,APU0000711311,Navel oranges,7,"06, 07, 08, 09, 10"
2002,APU0000711311,Navel oranges,8,"06, 07, 08, 09"
2003,APU0000711311,Navel oranges,9,"07, 08, 09"
2004,APU0000711311,Navel oranges,9,"07, 08, 10"
2005,APU0000711311,Navel oranges,10,"07, 08"
2006,APU0000711311,Navel oranges,11,08
2007,APU0000711311,Navel oranges,11,07
2020,APU0000711311,Navel oranges,6,"04, 07, 08, 09, 10, 11"
2021,APU0000711311,Navel oranges,9,"07, 08, 09"
2022,APU0000711311,Navel oranges,11,07
2025,APU0000711311,Navel oranges,9,"07, 10, 11"
2020,APU0000712112,White potatoes,10,"03, 04"
2025,APU0000712112,White potatoes,10,"10, 11"
2013,APU0000712211,Iceberg lettuce,11,10
2020,APU0000712211,Iceberg lettuce,2,"03, 04, 05, 06, 07, 08, 09, 10, 11, 12"
2021,APU0000712211,Iceberg lettuce,0,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12"
2022,APU0000712211,Iceberg lettuce,0,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12"
2023,APU0000712211,Iceberg lettuce,8,"01, 02, 03, 04"
2025,APU0000712211,Iceberg lettuce,10,"10, 12"
2013,APU0000712311,Tomatoes,11,10
2020,APU0000712311,Tomatoes,10,"03, 04"
2025,APU0000712311,Tomatoes,11,10
2020,APU0000714233,Dry beans,10,"04, 05"
2025,APU0000714233,Dry beans,11,10
